,stime,flgs_e,flgs_e s,flgs_e dS,flgs_e g,flgs_e *,flgs_eU,flgs_e &,flgs_e d,flgs_e    F,flgs_e r,proto_tcp,proto_udp,proto_icmp,proto_arp,proto_ipv6-icmp,proto_rarp,proto_igmp,saddr_192.168.100.149,saddr_192.168.100.148,saddr_192.168.100.150,saddr_192.168.100.147,saddr_192.168.100.3,saddr_192.168.100.7,saddr_192.168.100.6,saddr_192.168.100.5,saddr_192.168.100.4,saddr_192.168.100.1,saddr_private,saddr_external,daddr_192.168.100.149,daddr_192.168.100.148,daddr_192.168.100.150,daddr_192.168.100.147,daddr_192.168.100.3,daddr_192.168.100.7,daddr_192.168.100.6,daddr_192.168.100.5,daddr_192.168.100.4,daddr_192.168.100.1,daddr_private,daddr_external,pkts,bytes,state_RST,state_CON,state_INT,state_FIN,state_REQ,state_URP,state_ECO,state_NRS,state_ACC,state_MAS,ltime,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,tnbpsrcip,tnbpdstip,tnp_psrcip,tnp_pdstip,tnp_perproto,tnp_per_dport,ar_p_proto_p_srcip,ar_p_proto_p_dstip,n_in_conn_p_srcip,n_in_conn_p_dstip,ar_p_proto_p_sport,ar_p_proto_p_dport,pkts_p_state_p_protocol_p_destip,pkts_p_state_p_protocol_p_srcip,attack_type
44379,1526348308.653862,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526348308.657274,0.003412,0.003412,0.0,0.003412,0.003412,0.003412,1,1,60,60,293.083252,0.0,0.0,773646180,9383605539,179996,9746137,11220924,29,6352.892978539788,939.9656908391032,727.0,5208,1650.7202912222222,9645.612142466667,6482,21877,4
44380,1526894157.067691,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526894157.071818,0.004127,0.004127,0.0,0.004127,0.004127,0.004127,1,1,60,60,242.306763,0.0,0.0,5669920,9383605539,43720,9746137,11220924,16,4574.7005947427015,939.9656908391032,146.0,5208,587.1346234324325,10991.659927375,6482,30428,3
44381,1528101728.21951,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2280,1618301,0,1,0,0,0,0,0,0,0,0,1528101775.969766,47.750256,4.757496,0.689051,47.574959,2.690466,4.999993,2280,0,1618301,0,47.727493,47.727493,0.0,2370595877,4766661000,2725416,6635464,11220924,1637956,39.36511460063898,5274.167447059738,5208.0,23401,39.73535107741936,39.73535107741936,5064903,1638020,0
44382,1526979905.208196,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,59002,55184818,0,0,1,0,0,0,0,0,0,0,1526983441.202922,3535.994629,4.952876,0.103754,2783.516113,3.046796,4.999998,59002,0,55184818,0,16.685829,16.685829,0.0,9382230793,9383605539,9733681,9746137,9574834,13108094,95.8095280582192,82.0460183313783,42.0,5208,75.46616243749999,95.8095280582192,2688474,2688373,0
44383,1528095722.700376,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,308,0,0,0,0,1,0,0,0,0,0,1528095733.268282,10.567906,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.094626,0.094626,0.0,826213862,4766661000,69025,6635464,11220924,13108094,4918.426175165419,5274.167447059738,641.0,23401,0.3111565,100.86269728706448,7648,8072,2
44384,1526963400.157126,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526963400.15727,0.000144,0.000144,0.0,0.000144,0.000144,0.000144,1,1,60,60,6944.444336,0.0,0.0,773646180,9383605539,179996,9746137,11220924,18,6352.892978539788,939.9656908391032,727.0,5208,1425.8208378,6037.682250888889,6482,21877,3
44385,1528100194.524432,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5733,5588930,0,1,0,0,0,0,0,0,0,0,1528100230.629077,36.104645,4.502377,1.290832,36.019016,1.087162,4.993352,2865,2868,2882637,2706293,158.760742,79.324974,79.408066,2326353487,4766661000,2372667,6635464,11220924,13108094,137.66082824770643,5274.167447059738,97.0,23401,137.66082824770643,100.86269728706448,5064903,2372667,0
44386,1526876243.438667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,70,0,0,0,0,0,0,0,1,0,0,1526876243.438667,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,1260,6160,18,88,88,1637956,0.0,0.0,0.0,88,0.0,0.0,88,18,0
44387,1526897713.742867,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,134,1,0,0,0,0,0,0,0,0,0,1526897713.742912,4.5e-05,4.5e-05,0.0,4.5e-05,4.5e-05,4.5e-05,1,1,74,60,22222.222656,0.0,0.0,826213862,4766661000,69025,6635464,11220924,28,4918.426175165419,5274.167447059738,641.0,23401,22222.222656,17406.667055428574,65132,23345,4
44388,1526906952.122462,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,36241,33894936,0,0,1,0,0,0,0,0,0,0,1526908678.249778,1726.127319,4.956701,0.032073,1710.06189,4.425512,4.999992,36241,0,33894936,0,20.994974,20.994974,0.0,9382230793,9383605539,9733681,9746137,9574834,13108094,95.8095280582192,82.0460183313783,42.0,5208,75.46616243749999,95.8095280582192,2688474,2688373,0
